도메인,질문번호,질문,1순위 답변,2순위 답변,3순위 답변,답변항목 설명
여가,Q22m6,(가구대표자용) 문22. 다음 여가활동 중 귀하가 지난 1년간 오프라인(시설/공간방문)으로 하신 활동을 모두 선택해 주십시오.(중복 응답),"야외문화행사(축제, 거리예술, 공공예술 등 관람) (33명, 75.0%)","문화행사 관람(작가와의 만남 및 강연, 전시) (6명, 13.6%)","극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외) (5명, 11.4%)","미술관, 전시회 관람(미술, 사진, 건축, 디자인 등)
박물관 관람(역사, 일상생활, 문화 등)
서양 고전 음악공연 관람(클래식, 오페라 등)
대중공연 관람(쇼, 콘서트, 마술쇼 등)
무용공연 관람(현대무용, 발레 등)
전통예술공연 관람(국악, 민속놀이 등)
연극공연 관람(뮤지컬 포함)
문화행사 관람(작가와의 만남 및 강연, 전시)
극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외)
야외문화행사(축제, 거리예술, 공공예술 등 관람)
활동 없음"
여가,Q22m7,(가구대표자용) 문22. 다음 여가활동 중 귀하가 지난 1년간 오프라인(시설/공간방문)으로 하신 활동을 모두 선택해 주십시오.(중복 응답),"야외문화행사(축제, 거리예술, 공공예술 등 관람) (5명, 45.5%)","극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외) (5명, 45.5%)","연극공연 관람(뮤지컬 포함) (1명, 9.1%)","미술관, 전시회 관람(미술, 사진, 건축, 디자인 등)
박물관 관람(역사, 일상생활, 문화 등)
서양 고전 음악공연 관람(클래식, 오페라 등)
대중공연 관람(쇼, 콘서트, 마술쇼 등)
무용공연 관람(현대무용, 발레 등)
전통예술공연 관람(국악, 민속놀이 등)
연극공연 관람(뮤지컬 포함)
문화행사 관람(작가와의 만남 및 강연, 전시)
극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외)
야외문화행사(축제, 거리예술, 공공예술 등 관람)
활동 없음"
여가,Q22m8,(가구대표자용) 문22. 다음 여가활동 중 귀하가 지난 1년간 오프라인(시설/공간방문)으로 하신 활동을 모두 선택해 주십시오.(중복 응답),"야외문화행사(축제, 거리예술, 공공예술 등 관람) (4명, 66.7%)","문화행사 관람(작가와의 만남 및 강연, 전시) (1명, 16.7%)","극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외) (1명, 16.7%)","미술관, 전시회 관람(미술, 사진, 건축, 디자인 등)
박물관 관람(역사, 일상생활, 문화 등)
서양 고전 음악공연 관람(클래식, 오페라 등)
대중공연 관람(쇼, 콘서트, 마술쇼 등)
무용공연 관람(현대무용, 발레 등)
전통예술공연 관람(국악, 민속놀이 등)
연극공연 관람(뮤지컬 포함)
문화행사 관람(작가와의 만남 및 강연, 전시)
극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외)
야외문화행사(축제, 거리예술, 공공예술 등 관람)
활동 없음"
여가,Q22m9,(가구대표자용) 문22. 다음 여가활동 중 귀하가 지난 1년간 오프라인(시설/공간방문)으로 하신 활동을 모두 선택해 주십시오.(중복 응답),"극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외) (1명, 50.0%)","야외문화행사(축제, 거리예술, 공공예술 등 관람) (1명, 50.0%)",,"미술관, 전시회 관람(미술, 사진, 건축, 디자인 등)
박물관 관람(역사, 일상생활, 문화 등)
서양 고전 음악공연 관람(클래식, 오페라 등)
대중공연 관람(쇼, 콘서트, 마술쇼 등)
무용공연 관람(현대무용, 발레 등)
전통예술공연 관람(국악, 민속놀이 등)
연극공연 관람(뮤지컬 포함)
문화행사 관람(작가와의 만남 및 강연, 전시)
극장에서 영화 관람(TV, 컴퓨터를 이용한 영화 제외)
야외문화행사(축제, 거리예술, 공공예술 등 관람)
활동 없음"
여가,Q25m1,(가구대표자용) 문25. 올해(2024년) 수원 내에서 여가를 위해 방문해본 실외 여가공간은 어디입니까?(중복 응답),"생활권공원(근린공원，소공원，어린이공원 등) (963명, 57.6%)","운동경기장（축구, 농구，야구 등） (368명, 22.0%)","기타 실외 체육시설 (340명, 20.3%)","운동경기장（축구, 농구，야구 등）
학교운동장
골프장
기타 실외 체육시설
생활권공원(근린공원，소공원，어린이공원 등)
주제공원(역사공원, 수변공원, 체육공원 등)
산림욕장
식물원
캠핑장
산(자연공원 포함)
차 없는 거리(나혜석 거리, 수원역 로데오거리)
수원화성(행궁, 행리단길, 화성성곽)
근대거리(향교로, 구 경기도청 일원)
구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
재래시장
아파트 내(집주변) 공터
위에서 분류되지 않은 기타 실외공간
없음"
여가,Q25m10,(가구대표자용) 문25. 올해(2024년) 수원 내에서 여가를 위해 방문해본 실외 여가공간은 어디입니까?(중복 응답),"아파트 내(집주변) 공터 (26명, 40.0%)","재래시장 (22명, 33.8%)","위에서 분류되지 않은 기타 실외공간 (17명, 26.2%)","운동경기장（축구, 농구，야구 등）
학교운동장
골프장
기타 실외 체육시설
생활권공원(근린공원，소공원，어린이공원 등)
주제공원(역사공원, 수변공원, 체육공원 등)
산림욕장
식물원
캠핑장
산(자연공원 포함)
차 없는 거리(나혜석 거리, 수원역 로데오거리)
수원화성(행궁, 행리단길, 화성성곽)
근대거리(향교로, 구 경기도청 일원)
구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
재래시장
아파트 내(집주변) 공터
위에서 분류되지 않은 기타 실외공간
없음"
여가,Q25m11,(가구대표자용) 문25. 올해(2024년) 수원 내에서 여가를 위해 방문해본 실외 여가공간은 어디입니까?(중복 응답),"아파트 내(집주변) 공터 (19명, 52.8%)","위에서 분류되지 않은 기타 실외공간 (10명, 27.8%)","재래시장 (7명, 19.4%)","운동경기장（축구, 농구，야구 등）
학교운동장
골프장
기타 실외 체육시설
생활권공원(근린공원，소공원，어린이공원 등)
주제공원(역사공원, 수변공원, 체육공원 등)
산림욕장
식물원
캠핑장
산(자연공원 포함)
차 없는 거리(나혜석 거리, 수원역 로데오거리)
수원화성(행궁, 행리단길, 화성성곽)
근대거리(향교로, 구 경기도청 일원)
구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
재래시장
아파트 내(집주변) 공터
위에서 분류되지 않은 기타 실외공간
없음"
여가,Q25m12,(가구대표자용) 문25. 올해(2024년) 수원 내에서 여가를 위해 방문해본 실외 여가공간은 어디입니까?(중복 응답),"위에서 분류되지 않은 기타 실외공간 (10명, 50.0%)","아파트 내(집주변) 공터 (7명, 35.0%)","구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스) (3명, 15.0%)","운동경기장（축구, 농구，야구 등）
학교운동장
골프장
기타 실외 체육시설
생활권공원(근린공원，소공원，어린이공원 등)
주제공원(역사공원, 수변공원, 체육공원 등)
산림욕장
식물원
캠핑장
산(자연공원 포함)
차 없는 거리(나혜석 거리, 수원역 로데오거리)
수원화성(행궁, 행리단길, 화성성곽)
근대거리(향교로, 구 경기도청 일원)
구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
재래시장
아파트 내(집주변) 공터
위에서 분류되지 않은 기타 실외공간
없음"
여가,Q25m13,(가구대표자용) 문25. 올해(2024년) 수원 내에서 여가를 위해 방문해본 실외 여가공간은 어디입니까?(중복 응답),"재래시장 (3명, 33.3%)","아파트 내(집주변) 공터 (3명, 33.3%)","위에서 분류되지 않은 기타 실외공간 (3명, 33.3%)","운동경기장（축구, 농구，야구 등）
학교운동장
골프장
기타 실외 체육시설
생활권공원(근린공원，소공원，어린이공원 등)
주제공원(역사공원, 수변공원, 체육공원 등)
산림욕장
식물원
캠핑장
산(자연공원 포함)
차 없는 거리(나혜석 거리, 수원역 로데오거리)
수원화성(행궁, 행리단길, 화성성곽)
근대거리(향교로, 구 경기도청 일원)
구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
재래시장
아파트 내(집주변) 공터
위에서 분류되지 않은 기타 실외공간
없음"
여가,Q25m14,(가구대표자용) 문25. 올해(2024년) 수원 내에서 여가를 위해 방문해본 실외 여가공간은 어디입니까?(중복 응답),"아파트 내(집주변) 공터 (3명, 50.0%)","재래시장 (2명, 33.3%)","위에서 분류되지 않은 기타 실외공간 (1명, 16.7%)","운동경기장（축구, 농구，야구 등）
학교운동장
골프장
기타 실외 체육시설
생활권공원(근린공원，소공원，어린이공원 등)
주제공원(역사공원, 수변공원, 체육공원 등)
산림욕장
식물원
캠핑장
산(자연공원 포함)
차 없는 거리(나혜석 거리, 수원역 로데오거리)
수원화성(행궁, 행리단길, 화성성곽)
근대거리(향교로, 구 경기도청 일원)
구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
재래시장
아파트 내(집주변) 공터
위에서 분류되지 않은 기타 실외공간
없음"
여가,Q25m15,(가구대표자용) 문25. 올해(2024년) 수원 내에서 여가를 위해 방문해본 실외 여가공간은 어디입니까?(중복 응답),"아파트 내(집주변) 공터 (2명, 66.7%)","위에서 분류되지 않은 기타 실외공간 (1명, 33.3%)",,"운동경기장（축구, 농구，야구 등）
학교운동장
골프장
기타 실외 체육시설
생활권공원(근린공원，소공원，어린이공원 등)
주제공원(역사공원, 수변공원, 체육공원 등)
산림욕장
식물원
캠핑장
산(자연공원 포함)
차 없는 거리(나혜석 거리, 수원역 로데오거리)
수원화성(행궁, 행리단길, 화성성곽)
근대거리(향교로, 구 경기도청 일원)
구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
재래시장
아파트 내(집주변) 공터
위에서 분류되지 않은 기타 실외공간
없음"
여가,Q25m2,(가구대표자용) 문25. 올해(2024년) 수원 내에서 여가를 위해 방문해본 실외 여가공간은 어디입니까?(중복 응답),"주제공원(역사공원, 수변공원, 체육공원 등) (556명, 41.1%)","생활권공원(근린공원，소공원，어린이공원 등) (520명, 38.4%)","산(자연공원 포함) (278명, 20.5%)","운동경기장（축구, 농구，야구 등）
학교운동장
골프장
기타 실외 체육시설
생활권공원(근린공원，소공원，어린이공원 등)
주제공원(역사공원, 수변공원, 체육공원 등)
산림욕장
식물원
캠핑장
산(자연공원 포함)
차 없는 거리(나혜석 거리, 수원역 로데오거리)
수원화성(행궁, 행리단길, 화성성곽)
근대거리(향교로, 구 경기도청 일원)
구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
재래시장
아파트 내(집주변) 공터
위에서 분류되지 않은 기타 실외공간
없음"
여가,Q25m3,(가구대표자용) 문25. 올해(2024년) 수원 내에서 여가를 위해 방문해본 실외 여가공간은 어디입니까?(중복 응답),"수원화성(행궁, 행리단길, 화성성곽) (384명, 39.4%)","차 없는 거리(나혜석 거리, 수원역 로데오거리) (298명, 30.6%)","산(자연공원 포함) (292명, 30.0%)","운동경기장（축구, 농구，야구 등）
학교운동장
골프장
기타 실외 체육시설
생활권공원(근린공원，소공원，어린이공원 등)
주제공원(역사공원, 수변공원, 체육공원 등)
산림욕장
식물원
캠핑장
산(자연공원 포함)
차 없는 거리(나혜석 거리, 수원역 로데오거리)
수원화성(행궁, 행리단길, 화성성곽)
근대거리(향교로, 구 경기도청 일원)
구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
재래시장
아파트 내(집주변) 공터
위에서 분류되지 않은 기타 실외공간
없음"
여가,Q25m4,(가구대표자용) 문25. 올해(2024년) 수원 내에서 여가를 위해 방문해본 실외 여가공간은 어디입니까?(중복 응답),"수원화성(행궁, 행리단길, 화성성곽) (324명, 40.4%)","재래시장 (240명, 30.0%)","차 없는 거리(나혜석 거리, 수원역 로데오거리) (237명, 29.6%)","운동경기장（축구, 농구，야구 등）
학교운동장
골프장
기타 실외 체육시설
생활권공원(근린공원，소공원，어린이공원 등)
주제공원(역사공원, 수변공원, 체육공원 등)
산림욕장
식물원
캠핑장
산(자연공원 포함)
차 없는 거리(나혜석 거리, 수원역 로데오거리)
수원화성(행궁, 행리단길, 화성성곽)
근대거리(향교로, 구 경기도청 일원)
구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
재래시장
아파트 내(집주변) 공터
위에서 분류되지 않은 기타 실외공간
없음"
여가,Q25m5,(가구대표자용) 문25. 올해(2024년) 수원 내에서 여가를 위해 방문해본 실외 여가공간은 어디입니까?(중복 응답),"수원화성(행궁, 행리단길, 화성성곽) (228명, 36.2%)","아파트 내(집주변) 공터 (213명, 33.9%)","재래시장 (188명, 29.9%)","운동경기장（축구, 농구，야구 등）
학교운동장
골프장
기타 실외 체육시설
생활권공원(근린공원，소공원，어린이공원 등)
주제공원(역사공원, 수변공원, 체육공원 등)
산림욕장
식물원
캠핑장
산(자연공원 포함)
차 없는 거리(나혜석 거리, 수원역 로데오거리)
수원화성(행궁, 행리단길, 화성성곽)
근대거리(향교로, 구 경기도청 일원)
구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
재래시장
아파트 내(집주변) 공터
위에서 분류되지 않은 기타 실외공간
없음"
여가,Q25m6,(가구대표자용) 문25. 올해(2024년) 수원 내에서 여가를 위해 방문해본 실외 여가공간은 어디입니까?(중복 응답),"아파트 내(집주변) 공터 (195명, 42.0%)","재래시장 (147명, 31.7%)","수원화성(행궁, 행리단길, 화성성곽) (122명, 26.3%)","운동경기장（축구, 농구，야구 등）
학교운동장
골프장
기타 실외 체육시설
생활권공원(근린공원，소공원，어린이공원 등)
주제공원(역사공원, 수변공원, 체육공원 등)
산림욕장
식물원
캠핑장
산(자연공원 포함)
차 없는 거리(나혜석 거리, 수원역 로데오거리)
수원화성(행궁, 행리단길, 화성성곽)
근대거리(향교로, 구 경기도청 일원)
구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
재래시장
아파트 내(집주변) 공터
위에서 분류되지 않은 기타 실외공간
없음"
여가,Q25m7,(가구대표자용) 문25. 올해(2024년) 수원 내에서 여가를 위해 방문해본 실외 여가공간은 어디입니까?(중복 응답),"아파트 내(집주변) 공터 (148명, 51.7%)","재래시장 (79명, 27.6%)","수원화성(행궁, 행리단길, 화성성곽) (59명, 20.6%)","운동경기장（축구, 농구，야구 등）
학교운동장
골프장
기타 실외 체육시설
생활권공원(근린공원，소공원，어린이공원 등)
주제공원(역사공원, 수변공원, 체육공원 등)
산림욕장
식물원
캠핑장
산(자연공원 포함)
차 없는 거리(나혜석 거리, 수원역 로데오거리)
수원화성(행궁, 행리단길, 화성성곽)
근대거리(향교로, 구 경기도청 일원)
구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
재래시장
아파트 내(집주변) 공터
위에서 분류되지 않은 기타 실외공간
없음"
여가,Q25m8,(가구대표자용) 문25. 올해(2024년) 수원 내에서 여가를 위해 방문해본 실외 여가공간은 어디입니까?(중복 응답),"아파트 내(집주변) 공터 (87명, 46.3%)","재래시장 (61명, 32.4%)","위에서 분류되지 않은 기타 실외공간 (40명, 21.3%)","운동경기장（축구, 농구，야구 등）
학교운동장
골프장
기타 실외 체육시설
생활권공원(근린공원，소공원，어린이공원 등)
주제공원(역사공원, 수변공원, 체육공원 등)
산림욕장
식물원
캠핑장
산(자연공원 포함)
차 없는 거리(나혜석 거리, 수원역 로데오거리)
수원화성(행궁, 행리단길, 화성성곽)
근대거리(향교로, 구 경기도청 일원)
구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
재래시장
아파트 내(집주변) 공터
위에서 분류되지 않은 기타 실외공간
없음"
여가,Q25m9,(가구대표자용) 문25. 올해(2024년) 수원 내에서 여가를 위해 방문해본 실외 여가공간은 어디입니까?(중복 응답),"아파트 내(집주변) 공터 (51명, 48.1%)","위에서 분류되지 않은 기타 실외공간 (28명, 26.4%)","재래시장 (27명, 25.5%)","운동경기장（축구, 농구，야구 등）
학교운동장
골프장
기타 실외 체육시설
생활권공원(근린공원，소공원，어린이공원 등)
주제공원(역사공원, 수변공원, 체육공원 등)
산림욕장
식물원
캠핑장
산(자연공원 포함)
차 없는 거리(나혜석 거리, 수원역 로데오거리)
수원화성(행궁, 행리단길, 화성성곽)
근대거리(향교로, 구 경기도청 일원)
구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
재래시장
아파트 내(집주변) 공터
위에서 분류되지 않은 기타 실외공간
없음"
여가,Q26op,(가구대표자용) 문26. 귀하께서는 수원시 내에서 여가활동에 참여하는데 어려움을 느끼십니까?_기타,"2순위 없음 (3명, 42.9%)","주차시설 부족 (3명, 42.9%)","교통혼잡 (1명, 14.3%)",
여가,Q26r1,(가구대표자용) 문26. 귀하께서는 수원시 내에서 여가활동에 참여하는데 어려움을 느끼십니까? - 1순위,"어려움을 느낀 점이 없음 (988명, 57.0%)","여가활동 관련 정보 부족 (397명, 22.9%)","여가활동을 위한 여유시간이 없음 (348명, 20.1%)","활동에 적합한 장소나 시설 부족
이동을 위한 교통편 미흡
여가활동 관련 정보 부족
여가활동에 필요한 장비 부족
여가활동을 같이 할 사람이 없음
여가활동을 하기에 경제적 여유가 없음
여가활동을 위한 여유시간이 없음
여가활동이 귀찮고 피곤함
여가활동을 하기에 건강이 좋지 않음
기타
어려움을 느낀 점이 없음"
여가,Q26r2,(가구대표자용) 문26. 귀하께서는 수원시 내에서 여가활동에 참여하는데 어려움을 느끼십니까? - 2순위,"여가활동을 하기에 경제적 여유가 없음 (365명, 38.1%)","여가활동 관련 정보 부족 (306명, 31.9%)","여가활동을 위한 여유시간이 없음 (287명, 30.0%)","활동에 적합한 장소나 시설 부족
이동을 위한 교통편 미흡
여가활동 관련 정보 부족
여가활동에 필요한 장비 부족
여가활동을 같이 할 사람이 없음
여가활동을 하기에 경제적 여유가 없음
여가활동을 위한 여유시간이 없음
여가활동이 귀찮고 피곤함
여가활동을 하기에 건강이 좋지 않음
기타
어려움을 느낀 점이 없음"
여가,Q27a1,(가구대표자용) 문27. 귀하께서는 수원시 내에서 참여하신 여가생활과 관련한 아래 의견에 어떻게 평가하고 계십니까? - 1. 나의 전반적인 여가생활에 만족한다,"⑤ (1029명, 40.5%)","④ 보통 (955명, 37.6%)","⑥ (559명, 22.0%)","① 전혀 그렇지 않다
②
③
④ 보통
⑤
⑥
⑦ 매우 그렇다"
여가,Q27a2,(가구대표자용) 문27. 귀하께서는 수원시 내에서 참여하신 여가생활과 관련한 아래 의견에 어떻게 평가하고 계십니까? - 2. 현재 일과 여가생활 간 균형이 잘 이루어지고 있다,"⑤ (1100명, 44.8%)","④ 보통 (932명, 38.0%)","⑥ (421명, 17.2%)","① 전혀 그렇지 않다
②
③
④ 보통
⑤
⑥
⑦ 매우 그렇다"
정책 인지도·만족도(체감도),Q4a10,(가구대표자용) 문4. 귀하는 수원시에서 생활하면서 다음의 환경에 어느 정도 만족하고 계십니까? - 10. 문화환경,"⑤ (1263명, 47.3%)","⑥ (707명, 26.5%)","④ 보통 (702명, 26.3%)","① 전혀 만족하지 않는다
②
③
④ 보통
⑤
⑥
⑦ 매우 만족한다"
경제,Q59a1,(가구대표자용) 문59. 수원시의 바람직한 미래상을 가정한 각 항목입니다. 귀하가 생각하는 각 항목별 중요도를 고려해 응답해 주십시오. - 1. 활력 있는 경제도시 수원,"⑥ (970명, 38.3%)","⑤ (957명, 37.8%)","⑦ 매우 중요하다 (606명, 23.9%)","① 전혀 중요하지 않다
②
③
④ 보통
⑤
⑥
⑦ 매우 중요하다"
스포츠 문화,Q59a11,(가구대표자용) 문59. 수원시의 바람직한 미래상을 가정한 각 항목입니다. 귀하가 생각하는 각 항목별 중요도를 고려해 응답해 주십시오. - 11. 역동적인 스포츠도시 수원,"⑥ (1010명, 41.6%)","⑤ (886명, 36.5%)","④ 보통 (529명, 21.8%)","① 전혀 중요하지 않다
②
③
④ 보통
⑤
⑥
⑦ 매우 중요하다"
정책 인지도·만족도(체감도),Q60a1,(가구대표자용) 문60. 다음은 시민에게 제공되는 정책을 나열한 것입니다. 각 정책 분야별로 귀하가 생각하는 중요 수준은 어느 정도입니까? - 1. 복지,"⑥ (1071명, 39.9%)","⑤ (1043명, 38.9%)","⑦ 매우 중요하다 (567명, 21.1%)","① 전혀 중요하지 않다
②
③
④ 보통
⑤
⑥
⑦ 매우 중요하다"
