질문번호,질문,1순위,2순위,3순위,답변항목 설명
q3_2_2,"3-2. (①, ②, ③ 불만족 응답자만) 
수원시 시정운영에 만족하지 않는 경우, 그 이유는 무엇입니까? 2가지를 중요한 순서대로 선택해 주십시오. (2순위)","nan (1841명, 88.5%)","4.0 (55명, 2.6%)","7.0 (45명, 2.2%)","① 수원시 정책 추진 방향이 공감되지 않아서
② 정책 추진력 및 속도가 느려서
③ 시민과의 소통 및 경청이 부족해서
④ 정책이 내 삶에 도움이 되지 않아서
⑤ 시정 운영이 불안정해서 
⑥ 정부, 경기도, 타지자체와 협력을 못해서
⑦ 정책 홍보를 못해서
⑧ 기타(                           )"
q3_2_2_op,3-2. (2순위)  (기타 오픈응답),"nan (2079명, 99.9%)","무슨 정책이 돌아가는지 스스로 찾아보기 전에는 알 길이 없음 (1명, 0.0%)","민원을 제기해도 그것을 처리하는 공무원의 기본태도가 너무 불만스럽다 처리하려는 의지 없어보임 (1명, 0.0%)",
q4,"4. 민선8기 이재준 시장 취임 당시 가졌던 기대감과 현재 수원시정의 성과를 비교할 때, 취임당시 기대감 대비 현재 성과는 어떻습니까?","2 (876명, 42.1%)","1 (443명, 21.3%)","3 (419명, 20.1%)","① 잘 할 것이라 기대했고, 기대한 만큼 대체로 잘 한다
② 별로 기대하지 않았는데, 기대 이상으로 잘 한다
③ 잘 할 것이라 기대했는데, 대체로 기대에 못 미친다
④ 별로 기대하지 않았고, 역시 잘 못한다
⑤ 잘 모르겠다 "
q5_1,"5. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까? 
_1. 수원시는 정책을 만들고 실행하는 과정에서 시민, 시의회와의 소통을 원활히 하고 있다","5 (774명, 37.2%)","4 (452명, 21.7%)","6 (439명, 21.1%)","① 매우 낮게 평가 한다 
②
③
④ 보통이다
⑤
⑥
⑦ 매우 높게 평가 한다"
q5_2,"5. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까? 
_2. 수원시는 정책이 특정 집단에 치우치지 않고 모든 사람에게 공평하게 혜택을 주며, 차별을 방지하려고 노력하고 있다.","5 (586명, 28.2%)","6 (508명, 24.4%)","4 (490명, 23.5%)","① 매우 낮게 평가 한다 
②
③
④ 보통이다
⑤
⑥
⑦ 매우 높게 평가 한다"
q5_3,"5. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까? 
_3. 수원시는 정책 목표를 효과적으로 달성하고 있다","6 (576명, 27.7%)","4 (523명, 25.1%)","5 (518명, 24.9%)","① 매우 낮게 평가 한다 
②
③
④ 보통이다
⑤
⑥
⑦ 매우 높게 평가 한다"
q5_4,"5. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까? 
_4. 수원시 정책은 정책의 영향을 직접 받는 사람들에 잘 전달되고 있다","5 (641명, 30.8%)","4 (486명, 23.4%)","6 (469명, 22.5%)","① 매우 낮게 평가 한다 
②
③
④ 보통이다
⑤
⑥
⑦ 매우 높게 평가 한다"
q5_5,"5. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까? 
_5. 수원시는 위기 상황에서도 효과적으로 대처할 수 있는 역량을 갖추고 있다 ","5 (626명, 30.1%)","4 (553명, 26.6%)","6 (501명, 24.1%)","① 매우 낮게 평가 한다 
②
③
④ 보통이다
⑤
⑥
⑦ 매우 높게 평가 한다"
q6,6. 귀하는 수원시 의회의 의정활동 전반에 대해서 얼마나 만족하십니까? ,"5 (743명, 35.7%)","4 (502명, 24.1%)","6 (480명, 23.1%)","① 전혀 만족하지 못한다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 만족한다"
q7,"7. 제12대 수원특례시의회 의정활동 시작 당시 가졌던 기대감과 현재 수원특례시의회의 성과를 비교할 때, 당시 기대감 대비 현재 성과는 어떻습니까?","2 (902명, 43.3%)","1 (405명, 19.5%)","3 (392명, 18.8%)","① 잘 할 것이라 기대했고, 기대한 만큼 대체로 잘 한다
② 별로 기대하지 않았는데, 기대 이상으로 잘 한다
③ 잘 할 것이라 기대했는데, 대체로 기대에 못 미친다
④ 별로 기대하지 않았고, 역시 잘 못한다
⑤ 잘 모르겠다 "
q8_1,8. 귀하가 일상생활에서 겪고 있는 어려움은 구체적으로 무엇인지 분야별로 1가지만 말씀해 주십시오. _1. 주택,"2 (952명, 45.7%)","1 (555명, 26.7%)","3 (321명, 15.4%)","① 주택 공급 부족 
② 주거비 부담(전월세금 자금 부족 등) 
③  열악한 주거환경
④ 주택 증개축 어려움  
⑤ 기타(     )"
q8_1_op,8. _1. 주택 (기타 오픈응답),"nan (2003명, 96.3%)","없음 (9명, 0.4%)","층간소음 (4명, 0.2%)",
q8_2,8. 귀하가 일상생활에서 겪고 있는 어려움은 구체적으로 무엇인지 분야별로 1가지만 말씀해 주십시오. _2. 경제,"3 (752명, 36.1%)","2 (417명, 20.0%)","1 (391명, 18.8%)","① 일자리 부족, 구직의 어려움 
② 가계 빚, 과도한 대출이자 
③ 장바구니 물가 폭등 
④ 중소기업에 대한 차별이나 지원 부족 
⑤ 골목상권 축소 
⑥ 공공요금의 과도한 인상 
⑦ 저소득층 대상 신용대출 부족 
⑧ 기타(     )"
q8_2_op,8. _2. 경제 (기타 오픈응답),"nan (2069명, 99.4%)","골목상권 확대 요구 (도심 자영업) (1명, 0.0%)","수급자에 해당되지 않는 저소득 장애가구 지원 부족 (1명, 0.0%)",
q8_3,8. 귀하가 일상생활에서 겪고 있는 어려움은 구체적으로 무엇인지 분야별로 1가지만 말씀해 주십시오. _3. 교통,"1 (480명, 23.1%)","4 (361명, 17.3%)","2 (355명, 17.1%)","① 주차장 부족 
② 교통안전시설 부족 
③ 협소한 도로 
④ 도로 혼잡 
⑤ 대중교통 비용 부담
⑥ 대중교통 운행 횟수 부족(배차간격) 
⑦ 자전거 도로 부족 
⑧ 기타(     )"
q8_3_op,8. _3. 교통 (기타 오픈응답),"nan (2061명, 99.0%)","꼬리물기차량, 비양심운전자들 (1명, 0.0%)","고등동 신축아파트 주변 교통 불편 (1명, 0.0%)",
q8_4,8. 귀하가 일상생활에서 겪고 있는 어려움은 구체적으로 무엇인지 분야별로 1가지만 말씀해 주십시오. _4. 환경,"1 (709명, 34.1%)","2 (469명, 22.5%)","3 (451명, 21.7%)","① 환경 오염 증가 
② 혐오시설 증가 
③ 공원 부족 
④ 주택가 생활 쓰레기 처리 문제 
⑤ 기타(     )"
q8_4_op,8. _4. 환경 (기타 오픈응답),"nan (2049명, 98.5%)","없음 (3명, 0.1%)","교통불편 (2명, 0.1%)",
q8_5,8. 귀하가 일상생활에서 겪고 있는 어려움은 구체적으로 무엇인지 분야별로 1가지만 말씀해 주십시오. _5.양육․보육,"1 (968명, 46.5%)","3 (312명, 15.0%)","2 (301명, 14.5%)","① 해당사항 없음 
② 긴급 상황에서의 돌봄 공백 
③ 국공립 보육시설/종일 보육 시설 부족 
④ 양육비 부담 
⑤ 양육 정보의 부족 
⑥ 장애 아동 돌봄 지원 부족 
⑦ 어린이 병원 부족 
⑧ 아동의 정서적 및 심리적 지원 부족 
⑨ 기타(   ) "
q8_5_op,8. _5.양육․보육 (기타 오픈응답),"nan (2069명, 99.4%)","장애학생 방학때 갈곳이 없음 (1명, 0.0%)","다자녀가구 지원 부족 (1명, 0.0%)",
q8_6,8. 귀하가 일상생활에서 겪고 있는 어려움은 구체적으로 무엇인지 분야별로 1가지만 말씀해 주십시오. _6.교육,"2 (560명, 26.9%)","1 (554명, 26.6%)","3 (379명, 18.2%)","① 높은 사교육비 
② 평생교육 프로그램 부족 
③ 도서관 부족 
④ 사교육 시설 부족 
⑤ 정보 격차 심화
⑥ 기타(     )"
q8_6_op,8. _6.교육 (기타 오픈응답),"nan (2059명, 98.9%)","없음 (5명, 0.2%)","기회균등부족 (1명, 0.0%)",
q8_7,8. 귀하가 일상생활에서 겪고 있는 어려움은 구체적으로 무엇인지 분야별로 1가지만 말씀해 주십시오. _7.보건,"2 (893명, 42.9%)","3 (523명, 25.1%)","1 (439명, 21.1%)","① 공공의료기관 부족 
② 휴일, 야간에 이용할 수 있는 공공의료서비스 부족 
③ 의료비 부담 
④ 병원이용시 환자보호, 지원 부족 
⑤ 기타(     )"
q8_7_op,8. _7.보건 (기타 오픈응답),"nan (2067명, 99.3%)","없음 (3명, 0.1%)","의료보험료 (1명, 0.0%)",
q8_8,8. 귀하가 일상생활에서 겪고 있는 어려움은 구체적으로 무엇인지 분야별로 1가지만 말씀해 주십시오. _8.안전,"2 (699명, 33.6%)","3 (494명, 23.7%)","1 (472명, 22.7%)","① 주요시설물의 노후화 
② 강력범죄 불안감 
③ 자연재해 발생 증가 
④ 보행환경 불안감 
⑤ 전염병 확산 
⑥ 기타(     )"
q8_8_op,8. _8.안전 (기타 오픈응답),"nan (2071명, 99.5%)","쓰레기 매일 수거하면 좋겠습니다 (1명, 0.0%)","일자리 (1명, 0.0%)",
q9_1_1,"9-1. 귀하는 다음의 정책들이 귀하의 삶에 도움이 된다고 생각하십니까? 
_1.새빛 돌봄","4 (750명, 36.0%)","3 (716명, 34.4%)","5 (325명, 15.6%)","① 전혀 도움이 되지 않는다
② 도움이 되지 않는다
③ 보통이다
④ 도움이 된다
⑤ 매우 도움이 된다"
q9_1_2,"9-1. 귀하는 다음의 정책들이 귀하의 삶에 도움이 된다고 생각하십니까? 
_2. 새빛 톡톡","4 (886명, 42.6%)","3 (539명, 25.9%)","5 (387명, 18.6%)","① 전혀 도움이 되지 않는다
② 도움이 되지 않는다
③ 보통이다
④ 도움이 된다
⑤ 매우 도움이 된다"
q9_1_3,"9-1. 귀하는 다음의 정책들이 귀하의 삶에 도움이 된다고 생각하십니까? 
_3. 새빛 하우스","4 (693명, 33.3%)","3 (612명, 29.4%)","2 (353명, 17.0%)","① 전혀 도움이 되지 않는다
② 도움이 되지 않는다
③ 보통이다
④ 도움이 된다
⑤ 매우 도움이 된다"
q9_1_4,"9-1. 귀하는 다음의 정책들이 귀하의 삶에 도움이 된다고 생각하십니까? 
_4. 새빛 민원식","4 (844명, 40.6%)","3 (610명, 29.3%)","5 (403명, 19.4%)","① 전혀 도움이 되지 않는다
② 도움이 되지 않는다
③ 보통이다
④ 도움이 된다
⑤ 매우 도움이 된다"
q9_1_5,"9-1. 귀하는 다음의 정책들이 귀하의 삶에 도움이 된다고 생각하십니까? 
_5. 새빛 호스텔","3 (688명, 33.1%)","4 (638명, 30.7%)","2 (344명, 16.5%)","① 전혀 도움이 되지 않는다
② 도움이 되지 않는다
③ 보통이다
④ 도움이 된다
⑤ 매우 도움이 된다"
q9_1_6,"9-1. 귀하는 다음의 정책들이 귀하의 삶에 도움이 된다고 생각하십니까? 
_6. 새빛 펀트","3 (677명, 32.5%)","4 (631명, 30.3%)","2 (351명, 16.9%)","① 전혀 도움이 되지 않는다
② 도움이 되지 않는다
③ 보통이다
④ 도움이 된다
⑤ 매우 도움이 된다"
q9_1_7,"9-1. 귀하는 다음의 정책들이 귀하의 삶에 도움이 된다고 생각하십니까? 
_7. 새빛 융자","4 (714명, 34.3%)","3 (624명, 30.0%)","2 (324명, 15.6%)","① 전혀 도움이 되지 않는다
② 도움이 되지 않는다
③ 보통이다
④ 도움이 된다
⑤ 매우 도움이 된다"
q9_1_8,"9-1. 귀하는 다음의 정책들이 귀하의 삶에 도움이 된다고 생각하십니까? 
_8. 손바닥 정원","4 (855명, 41.1%)","3 (577명, 27.7%)","5 (352명, 16.9%)","① 전혀 도움이 되지 않는다
② 도움이 되지 않는다
③ 보통이다
④ 도움이 된다
⑤ 매우 도움이 된다"
q9_1_9,"9-1. 귀하는 다음의 정책들이 귀하의 삶에 도움이 된다고 생각하십니까? 
_9. 1인가구 쏘옥","4 (678명, 32.6%)","3 (614명, 29.5%)","5 (350명, 16.8%)","① 전혀 도움이 되지 않는다
② 도움이 되지 않는다
③ 보통이다
④ 도움이 된다
⑤ 매우 도움이 된다"
q9_2_1,"9-2. 귀하는 다음의 정책들로 인해 내 삶이 얼마나 나아졌다고 생각하십니까? 
_1.새빛 돌봄","3 (722명, 34.7%)","4 (695명, 33.4%)","5 (288명, 13.8%)","① 전혀 나아지지 않았다
② 거의 나아지지 않았다
③ 보통이다
④ 많이 나아졌다
⑤ 매우 나아졌다"
q9_2_2,"9-2. 귀하는 다음의 정책들로 인해 내 삶이 얼마나 나아졌다고 생각하십니까? 
_2. 새빛 톡톡","4 (724명, 34.8%)","3 (650명, 31.2%)","5 (320명, 15.4%)","① 전혀 나아지지 않았다
② 거의 나아지지 않았다
③ 보통이다
④ 많이 나아졌다
⑤ 매우 나아졌다"
q9_2_3,"9-2. 귀하는 다음의 정책들로 인해 내 삶이 얼마나 나아졌다고 생각하십니까? 
_3. 새빛 하우스","4 (659명, 31.7%)","3 (636명, 30.6%)","2 (375명, 18.0%)","① 전혀 나아지지 않았다
② 거의 나아지지 않았다
③ 보통이다
④ 많이 나아졌다
⑤ 매우 나아졌다"
q9_2_4,"9-2. 귀하는 다음의 정책들로 인해 내 삶이 얼마나 나아졌다고 생각하십니까? 
_4. 새빛 민원식","4 (801명, 38.5%)","3 (614명, 29.5%)","5 (349명, 16.8%)","① 전혀 나아지지 않았다
② 거의 나아지지 않았다
③ 보통이다
④ 많이 나아졌다
⑤ 매우 나아졌다"
q9_2_5,"9-2. 귀하는 다음의 정책들로 인해 내 삶이 얼마나 나아졌다고 생각하십니까? 
_5. 새빛 호스텔","3 (692명, 33.3%)","4 (627명, 30.1%)","2 (362명, 17.4%)","① 전혀 나아지지 않았다
② 거의 나아지지 않았다
③ 보통이다
④ 많이 나아졌다
⑤ 매우 나아졌다"
q9_2_6,"9-2. 귀하는 다음의 정책들로 인해 내 삶이 얼마나 나아졌다고 생각하십니까? 
_6. 새빛 펀트","3 (700명, 33.6%)","4 (572명, 27.5%)","2 (355명, 17.1%)","① 전혀 나아지지 않았다
② 거의 나아지지 않았다
③ 보통이다
④ 많이 나아졌다
⑤ 매우 나아졌다"
q9_2_7,"9-2. 귀하는 다음의 정책들로 인해 내 삶이 얼마나 나아졌다고 생각하십니까? 
_7. 새빛 융자","3 (665명, 32.0%)","4 (604명, 29.0%)","2 (352명, 16.9%)","① 전혀 나아지지 않았다
② 거의 나아지지 않았다
③ 보통이다
④ 많이 나아졌다
⑤ 매우 나아졌다"
q9_2_8,"9-2. 귀하는 다음의 정책들로 인해 내 삶이 얼마나 나아졌다고 생각하십니까? 
_8. 손바닥 정원","4 (803명, 38.6%)","3 (628명, 30.2%)","5 (282명, 13.6%)","① 전혀 나아지지 않았다
② 거의 나아지지 않았다
③ 보통이다
④ 많이 나아졌다
⑤ 매우 나아졌다"
q9_2_9,"9-2. 귀하는 다음의 정책들로 인해 내 삶이 얼마나 나아졌다고 생각하십니까? 
_9. 1인가구 쏘옥","3 (662명, 31.8%)","4 (658명, 31.6%)","2 (369명, 17.7%)","① 전혀 나아지지 않았다
② 거의 나아지지 않았다
③ 보통이다
④ 많이 나아졌다
⑤ 매우 나아졌다"
q9_3_1,"9-3. 귀하는 다음의 정책들이 수원시 발전에 얼마나 중요하다고 생각하십니까? 
_1.새빛 돌봄","4 (926명, 44.5%)","3 (585명, 28.1%)","5 (448명, 21.5%)","① 전혀 중요하지 않다
② 중요하지 않다
③ 보통이다
④ 중요하다
⑤ 매우 중요하다"
q9_3_2,"9-3. 귀하는 다음의 정책들이 수원시 발전에 얼마나 중요하다고 생각하십니까? 
_2. 새빛 톡톡","4 (833명, 40.0%)","3 (522명, 25.1%)","5 (491명, 23.6%)","① 전혀 중요하지 않다
② 중요하지 않다
③ 보통이다
④ 중요하다
⑤ 매우 중요하다"
q9_3_3,"9-3. 귀하는 다음의 정책들이 수원시 발전에 얼마나 중요하다고 생각하십니까? 
_3. 새빛 하우스","4 (778명, 37.4%)","3 (628명, 30.2%)","5 (405명, 19.5%)","① 전혀 중요하지 않다
② 중요하지 않다
③ 보통이다
④ 중요하다
⑤ 매우 중요하다"
q9_3_4,"9-3. 귀하는 다음의 정책들이 수원시 발전에 얼마나 중요하다고 생각하십니까? 
_4. 새빛 민원식","4 (853명, 41.0%)","5 (559명, 26.9%)","3 (513명, 24.7%)","① 전혀 중요하지 않다
② 중요하지 않다
③ 보통이다
④ 중요하다
⑤ 매우 중요하다"
q9_3_5,"9-3. 귀하는 다음의 정책들이 수원시 발전에 얼마나 중요하다고 생각하십니까? 
_5. 새빛 호스텔","4 (704명, 33.8%)","3 (660명, 31.7%)","5 (414명, 19.9%)","① 전혀 중요하지 않다
② 중요하지 않다
③ 보통이다
④ 중요하다
⑤ 매우 중요하다"
q9_3_6,"9-3. 귀하는 다음의 정책들이 수원시 발전에 얼마나 중요하다고 생각하십니까? 
_6. 새빛 펀트","4 (712명, 34.2%)","3 (582명, 28.0%)","5 (408명, 19.6%)","① 전혀 중요하지 않다
② 중요하지 않다
③ 보통이다
④ 중요하다
⑤ 매우 중요하다"
q9_3_7,"9-3. 귀하는 다음의 정책들이 수원시 발전에 얼마나 중요하다고 생각하십니까? 
_7. 새빛 융자","4 (749명, 36.0%)","3 (638명, 30.7%)","5 (428명, 20.6%)","① 전혀 중요하지 않다
② 중요하지 않다
③ 보통이다
④ 중요하다
⑤ 매우 중요하다"
q9_3_8,"9-3. 귀하는 다음의 정책들이 수원시 발전에 얼마나 중요하다고 생각하십니까? 
_8. 손바닥 정원","4 (847명, 40.7%)","3 (567명, 27.2%)","5 (426명, 20.5%)","① 전혀 중요하지 않다
② 중요하지 않다
③ 보통이다
④ 중요하다
⑤ 매우 중요하다"
q9_3_9,"9-3. 귀하는 다음의 정책들이 수원시 발전에 얼마나 중요하다고 생각하십니까? 
_9. 1인가구 쏘옥","4 (777명, 37.3%)","3 (618명, 29.7%)","5 (424명, 20.4%)","① 전혀 중요하지 않다
② 중요하지 않다
③ 보통이다
④ 중요하다
⑤ 매우 중요하다"
q9_4_1,"9-4. 귀하는 다음의 정책들의 성과가 있다고 생각하십니까? 
_1.새빛 돌봄","4 (882명, 42.4%)","3 (627명, 30.1%)","5 (386명, 18.5%)","① 성과가 전혀 없다
② 성과가 거의 없다
③ 보통이다
④ 성과가 많다
⑤ 성과가 매우 많다"
q9_4_2,"9-4. 귀하는 다음의 정책들의 성과가 있다고 생각하십니까? 
_2. 새빛 톡톡","4 (789명, 37.9%)","3 (566명, 27.2%)","5 (444명, 21.3%)","① 성과가 전혀 없다
② 성과가 거의 없다
③ 보통이다
④ 성과가 많다
⑤ 성과가 매우 많다"
q9_4_3,"9-4. 귀하는 다음의 정책들의 성과가 있다고 생각하십니까? 
_3. 새빛 하우스","3 (728명, 35.0%)","4 (658명, 31.6%)","5 (381명, 18.3%)","① 성과가 전혀 없다
② 성과가 거의 없다
③ 보통이다
④ 성과가 많다
⑤ 성과가 매우 많다"
q9_4_4,"9-4. 귀하는 다음의 정책들의 성과가 있다고 생각하십니까? 
_4. 새빛 민원식","4 (844명, 40.6%)","3 (540명, 25.9%)","5 (473명, 22.7%)","① 성과가 전혀 없다
② 성과가 거의 없다
③ 보통이다
④ 성과가 많다
⑤ 성과가 매우 많다"
q9_4_5,"9-4. 귀하는 다음의 정책들의 성과가 있다고 생각하십니까? 
_5. 새빛 호스텔","3 (750명, 36.0%)","4 (657명, 31.6%)","5 (320명, 15.4%)","① 성과가 전혀 없다
② 성과가 거의 없다
③ 보통이다
④ 성과가 많다
⑤ 성과가 매우 많다"
q9_4_6,"9-4. 귀하는 다음의 정책들의 성과가 있다고 생각하십니까? 
_6. 새빛 펀트","3 (648명, 31.1%)","4 (640명, 30.8%)","5 (357명, 17.2%)","① 성과가 전혀 없다
② 성과가 거의 없다
③ 보통이다
④ 성과가 많다
⑤ 성과가 매우 많다"
q9_4_7,"9-4. 귀하는 다음의 정책들의 성과가 있다고 생각하십니까? 
_7. 새빛 융자","4 (727명, 34.9%)","3 (672명, 32.3%)","5 (363명, 17.4%)","① 성과가 전혀 없다
② 성과가 거의 없다
③ 보통이다
④ 성과가 많다
⑤ 성과가 매우 많다"
q9_4_8,"9-4. 귀하는 다음의 정책들의 성과가 있다고 생각하십니까? 
_8. 손바닥 정원","4 (752명, 36.1%)","3 (665명, 32.0%)","5 (378명, 18.2%)","① 성과가 전혀 없다
② 성과가 거의 없다
③ 보통이다
④ 성과가 많다
⑤ 성과가 매우 많다"
q9_4_9,"9-4. 귀하는 다음의 정책들의 성과가 있다고 생각하십니까? 
_9. 1인가구 쏘옥","4 (711명, 34.2%)","3 (689명, 33.1%)","5 (344명, 16.5%)","① 성과가 전혀 없다
② 성과가 거의 없다
③ 보통이다
④ 성과가 많다
⑤ 성과가 매우 많다"
q10_op,"10. 앞서 제시된 수원시 주요 정책 이외에 귀하에게 가장 도움이 된다고 생각하는 정책이 있다면, 자유롭게 기술해 주세요. 
(오픈응답)","없음 (434명, 20.9%)","없습니다 (306명, 14.7%)","nan (201명, 9.7%)",
q11_1,"11. 귀하는 다음의 내용에 얼마나 동의하십니까? 
_1. 지난 1년 전에 비해 내 삶이 좋아졌다","3 (842명, 40.5%)","4 (721명, 34.6%)","2 (297명, 14.3%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 보통이다
④ 동의한다
⑤ 성과가 매우 많다"
q11_2,"11. 귀하는 다음의 내용에 얼마나 동의하십니까? 
_2. 지난 1년전에 비해 현재 나의 재정상태가 개선되었다","3 (708명, 34.0%)","4 (694명, 33.3%)","2 (388명, 18.6%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 보통이다
④ 동의한다
⑤ 성과가 매우 많다"
q12,12. 2024년 12월 3일 비상계엄령 선포 이후 귀댁의 소비량에 변화가 있었습니까?,"2 (1361명, 65.4%)","1 (720명, 34.6%)",,"① 있다
② 없다"
q12_1,12-1. 귀댁은 비상계엄령 선포 이후 소비가 늘었습니까? 줄었습니까?,"nan (1361명, 65.4%)","2.0 (531명, 25.5%)","1.0 (189명, 9.1%)","① 늘었다
② 줄었다"
q12_2_1_1,"12-2-1. 다음 중 귀댁의 소비가 증가한 품목은 무엇입니까? 증가한 소비 항목을 3가지 선택해 주십시오. 
(1순위)","nan (1892명, 90.9%)","1.0 (121명, 5.8%)","4.0 (18명, 0.9%)","① 식품외식
② 의류
③ 주거․가정
④ 의료․케어
⑤ 교육
⑥  ICT
⑦ 자동차․교통
⑧ 금융․보험
⑨ 생활위생․미용
⑩ 문화․여가
⑪ 기타"
q12_2_1_1_op,12-2-1. (1순위) (기타 오픈응답),"nan (2081명, 100.0%)",,,
q12_2_1_2,"12-2-1. 다음 중 귀댁의 소비가 증가한 품목은 무엇입니까? 증가한 소비 항목을 3가지 선택해 주십시오. 
(2순위)","nan (1892명, 90.9%)","2.0 (49명, 2.4%)","6.0 (31명, 1.5%)","① 식품외식
② 의류
③ 주거․가정
④ 의료․케어
⑤ 교육
⑥  ICT
⑦ 자동차․교통
⑧ 금융․보험
⑨ 생활위생․미용
⑩ 문화․여가
⑪ 기타"
q12_2_1_2_op,12-2-1. (2순위) (기타 오픈응답),"nan (2081명, 100.0%)",,,
q12_2_1_3,"12-2-1. 다음 중 귀댁의 소비가 증가한 품목은 무엇입니까? 증가한 소비 항목을 3가지 선택해 주십시오. 
(3순위)","nan (1892명, 90.9%)","3.0 (39명, 1.9%)","10.0 (38명, 1.8%)","① 식품외식
② 의류
③ 주거․가정
④ 의료․케어
⑤ 교육
⑥  ICT
⑦ 자동차․교통
⑧ 금융․보험
⑨ 생활위생․미용
⑩ 문화․여가
⑪ 기타"
q12_2_1_3_op,12-2-1. (3순위) (기타 오픈응답),"nan (2081명, 100.0%)",,,
q12_2_2_1,"12-2-2. 다음 중 귀댁의 소비가 감소한 품목은 무엇입니까? 감소한 소비 항목을 3가지 선택해 주십시오. 
(1순위)","nan (1550명, 74.5%)","1.0 (271명, 13.0%)","2.0 (119명, 5.7%)","① 식품외식
② 의류
③ 주거․가정
④ 의료․케어
⑤ 교육
⑥  ICT
⑦ 자동차․교통
⑧ 금융․보험
⑨ 생활위생․미용
⑩ 문화․여가
⑪ 기타"
q12_2_2_1_op,12-2-2. (1순위) (기타 오픈응답),"nan (2081명, 100.0%)",,,
q12_2_2_2,"12-2-2. 다음 중 귀댁의 소비가 감소한 품목은 무엇입니까? 감소한 소비 항목을 3가지 선택해 주십시오. 
(2순위)","nan (1549명, 74.4%)","2.0 (119명, 5.7%)","10.0 (90명, 4.3%)","① 식품외식
② 의류
③ 주거․가정
④ 의료․케어
⑤ 교육
⑥  ICT
⑦ 자동차․교통
⑧ 금융․보험
⑨ 생활위생․미용
⑩ 문화․여가
⑪ 기타"
q12_2_2_2_op,12-2-2. (2순위) (기타 오픈응답),"nan (2081명, 100.0%)",,,
