도메인,질문번호,질문,1순위 답변,2순위 답변,3순위 답변,답변항목 설명
도시 이미지·정체성,H0a5n4,(가구용) 문0. 가구원4 가구대표자(응답자)와의 관계,"미혼 자녀 (357명, 78.8%)","본인 또는 배우자의 형제, 자매 (58명, 12.8%)","본인 (38명, 8.4%)","본인
본인의 배우자
미혼 자녀
기혼자녀 및 그 배우자
손자녀 및 그 배우자
본인 또는 배우자의 부모(장인/장모/시부모)
본인 또는 배우자의 조부모
본인 또는 배우자의 형제, 자매
기타"
도시 이미지·정체성,H0a5n5,(가구용) 문0. 가구원5 가구대표자(응답자)와의 관계,"미혼 자녀 (35명, 76.1%)","본인 또는 배우자의 형제, 자매 (8명, 17.4%)","본인 (3명, 6.5%)","본인
본인의 배우자
미혼 자녀
기혼자녀 및 그 배우자
손자녀 및 그 배우자
본인 또는 배우자의 부모(장인/장모/시부모)
본인 또는 배우자의 조부모
본인 또는 배우자의 형제, 자매
기타"
도시 이미지·정체성,H0a5n6,(가구용) 문0. 가구원6 가구대표자(응답자)와의 관계,"미혼 자녀 (6명, 100.0%)",,,"본인
본인의 배우자
미혼 자녀
기혼자녀 및 그 배우자
손자녀 및 그 배우자
본인 또는 배우자의 부모(장인/장모/시부모)
본인 또는 배우자의 조부모
본인 또는 배우자의 형제, 자매
기타"
도시 이미지·정체성,H0a5n7,(가구용) 문0. 가구원7 가구대표자(응답자)와의 관계,"미혼 자녀 (1명, 100.0%)",,,"본인
본인의 배우자
미혼 자녀
기혼자녀 및 그 배우자
손자녀 및 그 배우자
본인 또는 배우자의 부모(장인/장모/시부모)
본인 또는 배우자의 조부모
본인 또는 배우자의 형제, 자매
기타"
도시 이미지·정체성,H0a5opn1,(가구용) 문0. 가구원1 가구대표자(응답자)와의 관계_기타,"친구 (2명, 50.0%)","동거인 (2명, 50.0%)",,
도시 이미지·정체성,H0a5opn2,(가구용) 문0. 가구원2 가구대표자(응답자)와의 관계_기타,"친구 (1명, 50.0%)","동거인 (1명, 50.0%)",,
도시 이미지·정체성,H0a5opn3,(가구용) 문0. 가구원3 가구대표자(응답자)와의 관계_기타,,,,
도시 이미지·정체성,H0a5opn4,(가구용) 문0. 가구원4 가구대표자(응답자)와의 관계_기타,,,,
도시 이미지·정체성,H0a5opn5,(가구용) 문0. 가구원5 가구대표자(응답자)와의 관계_기타,,,,
도시 이미지·정체성,H0a5opn6,(가구용) 문0. 가구원6 가구대표자(응답자)와의 관계_기타,,,,
도시 이미지·정체성,H0a5opn7,(가구용) 문0. 가구원7 가구대표자(응답자)와의 관계_기타,,,,
경제,H10op,(가구용) 문10. 귀댁의 생활비 중에서 지출이 가장 많은 순서대로 3순위까지 선택해 주십시오._기타,"보험료 (2명, 40.0%)","보험 (2명, 40.0%)","보험 및 저축 (1명, 20.0%)",
경제,H10r1,(가구용) 문10. 귀댁의 생활비 중에서 지출이 가장 많은 순서대로 3순위까지 선택해 주십시오. - 1순위,"식비(외식비 포함) (2022명, 73.6%)","주거비(월세, 이자, 공과금 포함) (627명, 22.8%)","생필품 구입비 (100명, 3.6%)","식비(외식비 포함)
주거비(월세, 이자, 공과금 포함)
생필품 구입비
문화생활/오락비
경조사비
통신비
의류구입비
차량유지비(할부, 리스 포함)
대중교통비
공교육비
사교육비
의료비
기타"
경제,H10r2,(가구용) 문10. 귀댁의 생활비 중에서 지출이 가장 많은 순서대로 3순위까지 선택해 주십시오. - 2순위,"주거비(월세, 이자, 공과금 포함) (1179명, 52.4%)","식비(외식비 포함) (564명, 25.1%)","생필품 구입비 (507명, 22.5%)","식비(외식비 포함)
주거비(월세, 이자, 공과금 포함)
생필품 구입비
문화생활/오락비
경조사비
통신비
의류구입비
차량유지비(할부, 리스 포함)
대중교통비
공교육비
사교육비
의료비
기타"
경제,H10r3,(가구용) 문10. 귀댁의 생활비 중에서 지출이 가장 많은 순서대로 3순위까지 선택해 주십시오. - 3순위,"생필품 구입비 (750명, 50.1%)","차량유지비(할부, 리스 포함) (384명, 25.7%)","주거비(월세, 이자, 공과금 포함) (362명, 24.2%)","식비(외식비 포함)
주거비(월세, 이자, 공과금 포함)
생필품 구입비
문화생활/오락비
경조사비
통신비
의류구입비
차량유지비(할부, 리스 포함)
대중교통비
공교육비
사교육비
의료비
기타"
정책 인지도·만족도(체감도),H1_1a6n1,(가구용) 문1-1. 미취학 아동1 보육시설 만족도,,,,"매우 불만족
약간 불만족
보통
약간 만족
매우 만족"
정책 인지도·만족도(체감도),H1_1a6n2,(가구용) 문1-1. 미취학 아동2 보육시설 만족도,,,,"매우 불만족
약간 불만족
보통
약간 만족
매우 만족"
정책 인지도·만족도(체감도),H1_1a6n3,(가구용) 문1-1. 미취학 아동3 보육시설 만족도,"약간 만족 (62명, 52.1%)","매우 만족 (40명, 33.6%)","보통 (17명, 14.3%)","매우 불만족
약간 불만족
보통
약간 만족
매우 만족"
정책 인지도·만족도(체감도),H1_1a6n4,(가구용) 문1-1. 미취학 아동4 보육시설 만족도,"약간 만족 (29명, 51.8%)","매우 만족 (23명, 41.1%)","보통 (4명, 7.1%)","매우 불만족
약간 불만족
보통
약간 만족
매우 만족"
정책 인지도·만족도(체감도),H1_1a6n5,(가구용) 문1-1. 미취학 아동5 보육시설 만족도,"약간 만족 (2명, 40.0%)","매우 만족 (2명, 40.0%)","약간 불만족 (1명, 20.0%)","매우 불만족
약간 불만족
보통
약간 만족
매우 만족"
정책 인지도·만족도(체감도),H1_1a6n6,(가구용) 문1-1. 미취학 아동6 보육시설 만족도,,,,"매우 불만족
약간 불만족
보통
약간 만족
매우 만족"
정책 인지도·만족도(체감도),H1_1a6n7,(가구용) 문1-1. 미취학 아동7 보육시설 만족도,"약간 만족 (1명, 100.0%)",,,"매우 불만족
약간 불만족
보통
약간 만족
매우 만족"
정책 인지도·만족도(체감도),H2a1,(가구용) 문2. 귀하는 수원시의 공교육 및 사교육 환경에 대해 어떻게 평가하십니까? - 1. 공교육 환경,"④ (1205명, 47.1%)","③ 보통 (754명, 29.5%)","⑤ 매우 긍정적 (598명, 23.4%)","① 매우 부정적
②
③ 보통
④
⑤ 매우 긍정적
잘 모르겠다"
정책 인지도·만족도(체감도),H2a2,(가구용) 문2. 귀하는 수원시의 공교육 및 사교육 환경에 대해 어떻게 평가하십니까? - 2. 사교육 환경,"④ (1191명, 48.0%)","③ 보통 (840명, 33.9%)","⑤ 매우 긍정적 (448명, 18.1%)","① 매우 부정적
②
③ 보통
④
⑤ 매우 긍정적
잘 모르겠다"
도시 이미지·정체성,H3_1op,(가구용) 문3-1. 귀하가 수원에서 자녀를 키우고 싶은 이유는 무엇입니까? 주된 이유 순서대로 2순위까지 선택해 주십시오._기타,"공원이 많고 주변에 아이 키우는 집이 많아서 (1명, 33.3%)","오래 살아와서 (1명, 33.3%)","자녀가 없어서 잘 모르지만 대체로 좋은 것 같음 (1명, 33.3%)",
도시 이미지·정체성,H3_1r1,(가구용) 문3-1. 귀하가 수원에서 자녀를 키우고 싶은 이유는 무엇입니까? - 1순위,"자녀 교육 환경이 좋아서(학교, 학군, 학원 등) (493명, 40.5%)","편의시설이 좋아서(의료, 문화, 쇼핑 등) (372명, 30.5%)","위치, 교통이 좋아서(직장, 양육시설 접근성 등) (353명, 29.0%)","자녀 교육 환경이 좋아서(학교, 학군, 학원 등)
자녀 돌봄 시설이 좋아서(어린이집, 유치원, 초등 돌봄 등)
편의시설이 좋아서(의료, 문화, 쇼핑 등)
위치, 교통이 좋아서(직장, 양육시설 접근성 등)
안전해서(치안, 유해시설, 폭력, 교통안전 등)
가족의 자녀양육 도움을 받을 수 있어서
이웃, 공동체의 자녀양육 도움을 받을 수 있어서
기타"
도시 이미지·정체성,H3_1r2,(가구용) 문3-1. 귀하가 수원에서 자녀를 키우고 싶은 이유는 무엇입니까? - 2순위,"위치, 교통이 좋아서(직장, 양육시설 접근성 등) (451명, 39.5%)","편의시설이 좋아서(의료, 문화, 쇼핑 등) (450명, 39.4%)","자녀 돌봄 시설이 좋아서(어린이집, 유치원, 초등 돌봄 등) (242명, 21.2%)","자녀 교육 환경이 좋아서(학교, 학군, 학원 등)
자녀 돌봄 시설이 좋아서(어린이집, 유치원, 초등 돌봄 등)
편의시설이 좋아서(의료, 문화, 쇼핑 등)
위치, 교통이 좋아서(직장, 양육시설 접근성 등)
안전해서(치안, 유해시설, 폭력, 교통안전 등)
가족의 자녀양육 도움을 받을 수 있어서
이웃, 공동체의 자녀양육 도움을 받을 수 있어서
기타"
도시 이미지·정체성,H3_2op,(가구용) 문3-2. 귀하가 귀하가 수원에서 자녀를 키우고 싶지 않은 이유는 무엇입니까?_기타,"자녀 교육에 대한 지원 부족 (1명, 33.3%)","도시 이미지가 별로 좋지않음 (1명, 33.3%)","돈이 너무 없고 물가가 너무 비쌈 (1명, 33.3%)",
도시 이미지·정체성,H3_2r1,(가구용) 문3-2. 귀하가 귀하가 수원에서 자녀를 키우고 싶지 않은 이유는 무엇입니까? - 1순위,"자녀 교육 환경이 좋지 않아서(학교, 학군, 학원 등) (100명, 51.8%)","위치, 교통이 좋지 않아서(직장, 양육시설 접근성 등) (47명, 24.4%)","자녀 돌봄 시설이 좋지 않아서(어린이집, 유치원, 초등 돌봄 등) (46명, 23.8%)","자녀 교육 환경이 좋지 않아서(학교, 학군, 학원 등)
자녀 돌봄 시설이 좋지 않아서(어린이집, 유치원, 초등 돌봄 등)
편의시설이 좋지 않아서(의료, 문화, 쇼핑 등)
위치, 교통이 좋지 않아서(직장, 양육시설 접근성 등)
안전하지 않아서(치안, 유해시설, 폭력, 교통안전 등)
가족의 자녀양육 도움을 받을 수 없어서
이웃, 공동체의 자녀양육 도움을 받을 수 없어서
기타"
도시 이미지·정체성,H3_2r2,(가구용) 문3-2. 귀하가 귀하가 수원에서 자녀를 키우고 싶지 않은 이유는 무엇입니까? - 2순위,"위치, 교통이 좋지 않아서(직장, 양육시설 접근성 등) (60명, 38.7%)","자녀 돌봄 시설이 좋지 않아서(어린이집, 유치원, 초등 돌봄 등) (48명, 31.0%)","편의시설이 좋지 않아서(의료, 문화, 쇼핑 등) (47명, 30.3%)","자녀 교육 환경이 좋지 않아서(학교, 학군, 학원 등)
자녀 돌봄 시설이 좋지 않아서(어린이집, 유치원, 초등 돌봄 등)
편의시설이 좋지 않아서(의료, 문화, 쇼핑 등)
위치, 교통이 좋지 않아서(직장, 양육시설 접근성 등)
안전하지 않아서(치안, 유해시설, 폭력, 교통안전 등)
가족의 자녀양육 도움을 받을 수 없어서
이웃, 공동체의 자녀양육 도움을 받을 수 없어서
기타"
도시 이미지·정체성,H3a1,(가구용) 문3. 귀하는 자녀를 키우는 것과 관련하여 다음에 대해 어떻게 생각하십니까? - 1. 수원은 자녀를 키우기 좋은 육아친화적인 도시이다,"② 대체로 그렇다 (1672명, 58.9%)","③ 보통이다 (884명, 31.1%)","④ 별로 그렇지 않다 (285명, 10.0%)","① 매우 그렇다
② 대체로 그렇다
③ 보통이다
④ 별로 그렇지 않다
⑤ 전혀 그렇지 않다"
도시 이미지·정체성,H3a2,(가구용) 문3. 귀하는 자녀를 키우는 것과 관련하여 다음에 대해 어떻게 생각하십니까? - 2. 나는 수원에서 자녀를 키우고 싶다,"② 대체로 그렇다 (1438명, 52.0%)","③ 보통이다 (1028명, 37.2%)","① 매우 그렇다 (300명, 10.8%)","① 매우 그렇다
② 대체로 그렇다
③ 보통이다
④ 별로 그렇지 않다
⑤ 전혀 그렇지 않다"
도시 이미지·정체성,H5_2,(가구용) 문5-2. 반려동물을 키우는데 있어 수원시의 지원이 가장 필요한 부분은 무엇이라고 생각하십니까?,"반려동물 의료서비스(예방접종, 치료) 지원 (308명, 65.8%)","반려동물 카페 확대 지원 (90명, 19.2%)","반려동물 동반 식당 확대 지원 (70명, 15.0%)","반려동물 의료서비스(예방접종, 치료) 지원
반려동물 카페 확대 지원
반려동물 동반 식당 확대 지원
반려동물 인식개선 캠페인 진행
기타"
도시 이미지·정체성,H5_2op,(가구용) 문5-2. 반려동물을 키우는데 있어 수원시의 지원이 가장 필요한 부분은 무엇이라고 생각하십니까?_기타,"지원 필요 없음 (3명, 60.0%)","버려진 길고양이를 위한 지원 (1명, 20.0%)","개놀이공원.  넒은지역에  펜스만  치면  됨.  산책하는 사람  많음 (1명, 20.0%)",
경제,H8,(가구용) 문8. 귀 가구의 지난 1년 동안 세전 월평균 가구소득은 얼마입니까?,"300만원 이상 ~ 400만원 미만 (662명, 41.3%)","400만원 이상 ~ 500만원 미만 (474명, 29.6%)","200만원 이상 ~ 300만원 미만 (468명, 29.2%)","소득 없음
100만원 미만
100만원 이상 ~ 200만원 미만
200만원 이상 ~ 300만원 미만
300만원 이상 ~ 400만원 미만
400만원 이상 ~ 500만원 미만
500만원 이상 ~ 600만원 미만
600만원 이상 ~ 700만원 미만
700만원 이상 ~ 800만원 미만
800만원 이상 ~ 900만원 미만
900만원 이상 ~ 1,000만원 미만
1,000만원 이상"
경제,H9,(가구용) 문9. 귀댁에는 부채가 있습니까?,"부채 없음 (1800명, 58.9%)","부채 있음 (1257명, 41.1%)",,"부채 있음
부채 없음"
경제,H9_1op,"(가구용) 문9-1. 부채가 있다면, 주된 이유는 무엇입니까?_기타","없음 (27명, 90.0%)","자동차 구입 (2명, 6.7%)","집안사정 (1명, 3.3%)",
경제,H9_1r1,"(가구용) 문9-1. 부채가 있다면, 주된 이유는 무엇입니까? - 1순위","거주주택 마련 (688명, 63.0%)","전(월)세 보증금 마련 (352명, 32.2%)","생활비 마련 (52명, 4.8%)","거주주택 마련
거주주택 이외 부동산 마련
전(월)세 보증금 마련
증권 등 투자금 마련
부채상환
사업자금(영농자금 포함)마련
결혼자금 마련
의료비 마련
교육비 마련
생활비 마련
기타"
경제,H9_1r2,"(가구용) 문9-1. 부채가 있다면, 주된 이유는 무엇입니까? - 2순위","생활비 마련 (329명, 45.6%)","부채상환 (275명, 38.1%)","증권 등 투자금 마련 (118명, 16.3%)","거주주택 마련
거주주택 이외 부동산 마련
전(월)세 보증금 마련
증권 등 투자금 마련
부채상환
사업자금(영농자금 포함)마련
결혼자금 마련
의료비 마련
교육비 마련
생활비 마련
기타"
정책 인지도·만족도(체감도),MHQ4,환경 만족도_평균(100점),"73.33333333333334 (127명, 38.3%)","56.66666666666667 (109명, 32.8%)","68.33333333333334 (96명, 28.9%)",
정책 인지도·만족도(체감도),MQ4,환경 만족도_평균(7점),"5.3 (187명, 33.9%)","5.4 (184명, 33.4%)","5.0 (180명, 32.7%)",
도시 이미지·정체성,Q0a3,(가구대표자용) 문0. 가구대표자 - 3. 성별,"2 (1564명, 51.2%)","1 (1493명, 48.8%)",,
도시 이미지·정체성,Q0a4,(가구대표자용) 문0. 가구대표자 - 4. 출생년도,"1996 (133명, 39.7%)","1995 (106명, 31.6%)","1967 (96명, 28.7%)",
도시 이미지·정체성,Q0a5,(가구대표자용) 문0. 가구대표자 - 5. 종교,"없음 (1829명, 64.7%)","기독교(개신교) (711명, 25.1%)","불교 (289명, 10.2%)","기독교(개신교)
불교
천주교
기타
없음"
도시 이미지·정체성,Q0a5op,(가구대표자용) 문0. 가구대표자 - 5. 종교_기타,"JW (1명, 33.3%)","KSGI (1명, 33.3%)","도교 (1명, 33.3%)",
도시 이미지·정체성,Q10,(가구대표자용) 문10. 귀하는 현재 수입이 있는 일을 하고 계십니까?,"그렇다 (2492명, 81.5%)","아니다 (565명, 18.5%)",,"그렇다
아니다"
경제,Q10_1,(가구대표자용) 문10-1. 다음 중 귀하의 고용형태는 어디에 해당하십니까?,"상용직 임금근로자 (1726명, 75.8%)","고용원이 없는 자영업자 (298명, 13.1%)","임시직 임금근로자 (253명, 11.1%)","상용직 임금근로자
임시직 임금근로자
일용직 임금근로자
특수고용 종사자
고용원이 있는 고용주
고용원이 없는 자영업자
무급가족종사자"
도시 이미지·정체성,Q10_10,(가구대표자용) 문10-10. 향후 일자리를 갖기 위해 계획한 활동이 있으십니까?,"계획 없음 (404명, 75.5%)","취업상담 (74명, 13.8%)","직업교육 훈련 참여 (57명, 10.7%)","취업상담
직업교육 훈련 참여
자영업, 창업 준비
기타
계획 없음"
도시 이미지·정체성,Q10_10op,(가구대표자용) 문10-10. 향후 일자리를 갖기 위해 계획한 활동이 있으십니까?_기타,"아르바이트 (2명, 50.0%)","알아보고있으나 아직 아이가 어려조금만 더 크기를 기다리고있음 (1명, 25.0%)","업종전환을 위해 공부중 (1명, 25.0%)",
도시 이미지·정체성,Q10_1_1a1,(가구대표자용) 문10-1-1. 지난달 매출액과 영업 이익은 얼마입니까? - 1. 매출액,"5000000 (38명, 36.9%)","20000000 (35명, 34.0%)","10000000 (30명, 29.1%)",
도시 이미지·정체성,Q10_1_1a2,(가구대표자용) 문10-1-1. 지난달 매출액과 영업 이익은 얼마입니까? - 2. 영업이익,"3000000 (60명, 40.8%)","4000000 (49명, 33.3%)","5000000 (38명, 25.9%)",
도시 이미지·정체성,Q10_2,"(가구대표자용) 문10-2. 시간제로 일하십니까, 전일제로 일하십니까?","전일제 (2207명, 88.6%)","시간제 (285명, 11.4%)",,"시간제
전일제"
도시 이미지·정체성,Q10_3a1,"(가구대표자용) 문10-3. 일주일 평균 며칠, 몇시간 일하십니까? - 1. 평균 근무 일수","5 (1905명, 79.5%)","6 (448명, 18.7%)","4 (44명, 1.8%)",
도시 이미지·정체성,Q10_3a2,"(가구대표자용) 문10-3. 일주일 평균 며칠, 몇시간 일하십니까? - 2. 평균 근무 시간","40 (1254명, 77.0%)","50 (206명, 12.7%)","48 (168명, 10.3%)",
도시 이미지·정체성,Q10_4,(가구대표자용) 문10-4. 귀하가 근로하고 있는 사업체의 유형은 무엇입니까?,"중소기업 (1231명, 66.0%)","중견기업 (387명, 20.8%)","대기업 (246명, 13.2%)","대기업
공사 등 공기업
정부, 지방자치단체 기관
중견기업
중소기업
외국계기업
시민단체, 사회적기업, 협동조합 등
기타"
도시 이미지·정체성,Q10_4op,(가구대표자용) 문10-4. 귀하가 근로하고 있는 사업체의 유형은 무엇입니까?_기타,"자영업 (61명, 62.9%)","개인 (25명, 25.8%)","개인사업 (11명, 11.3%)",
도시 이미지·정체성,Q10_5,(가구대표자용) 문10-5. 귀하의 직종은 무엇입니까?,"사무 종사자 (877명, 51.0%)","서비스 종사자 (551명, 32.0%)","판매 종사자 (292명, 17.0%)","관리자
전문가 및 관련 종사자
사무 종사자
서비스 종사자
판매 종사자
농림·어업 숙련 종사자
기능원 및 관련 기능 종사자
장치·기계 조작 및 조립 종사자
단순노무 종사자
군인
기타"
도시 이미지·정체성,Q10_5op,(가구대표자용) 문10-5. 귀하의 직종은 무엇입니까?_기타,"교사 (3명, 42.9%)","대학원생 (2명, 28.6%)","학생 근로 (2명, 28.6%)",
도시 이미지·정체성,Q10_6,(가구대표자용) 문10-6. 귀하는 지난 일주일 동안 구직을 위한 노력을 적극적으로 했습니까?,"아니다 (506명, 89.6%)","그렇다 (59명, 10.4%)",,"그렇다
아니다"
도시 이미지·정체성,Q10_7,(가구대표자용) 문10-7. 어떤 방식으로 구직활동을 하셨습니까?,"민간 취업알선기관(인터넷, 모바일 앱 등) (31명, 55.4%)","일자리센터, 고용복지플러스센터 등 공공취업알선기관 (18명, 32.1%)","지인 소개 (7명, 12.5%)","일자리센터, 고용복지플러스센터 등 공공취업알선기관
민간 취업알선기관(인터넷, 모바일 앱 등)
신문, 잡지
사업체에 직접 문의 또는 방문
지인 소개
자영업, 창업 준비
기타"
도시 이미지·정체성,Q10_7op,(가구대표자용) 문10-7. 어떤 방식으로 구직활동을 하셨습니까?_기타,,,,
도시 이미지·정체성,Q10_8op,(가구대표자용) 문10-8. 구직활동을 위해 확대가 필요하다고 생각하는 취업지원 분야를 순서대로 최대 2개까지 선택해 주십시오._기타,,,,
도시 이미지·정체성,Q10_8r1,(가구대표자용) 문10-8. 구직활동을 위해 확대가 필요하다고 생각하는 취업지원 분야를 순서대로 최대 2개까지 선택해 주십시오. - 1순위,"구인구직 정보 제공 (21명, 51.2%)","일 경험 제공 직접일자리 확대 (10명, 24.4%)","직업교육 훈련 (10명, 24.4%)","구인구직 정보 제공
직업교육 훈련
취업상담
구직자 지원 고용장려금
일 경험 제공 직접일자리 확대
기타"
도시 이미지·정체성,Q10_8r2,(가구대표자용) 문10-8. 구직활동을 위해 확대가 필요하다고 생각하는 취업지원 분야를 순서대로 최대 2개까지 선택해 주십시오. - 2순위,"구직자 지원 고용장려금 (13명, 36.1%)","일 경험 제공 직접일자리 확대 (12명, 33.3%)","직업교육 훈련 (11명, 30.6%)","구인구직 정보 제공
직업교육 훈련
취업상담
구직자 지원 고용장려금
일 경험 제공 직접일자리 확대
기타"
도시 이미지·정체성,Q10_9,(가구대표자용) 문10-9. 현재 일을 안 하시는 이유는 무엇입니까?,"전업주부라서 (228명, 58.8%)","고령자라서(정년퇴직, 은퇴 등) (97명, 25.0%)","학생이라서 (63명, 16.2%)","실직 또는 일시휴직해서
전업주부라서
학생이라서
고령자라서(정년퇴직, 은퇴 등)
신체적, 정신적 건강상의 이유로
본인에게 맞는 적당한 일자리가 없어서
취업에 실패해서
근로 의사 없음
기타"
도시 이미지·정체성,Q10_9op,(가구대표자용) 문10-9. 현재 일을 안 하시는 이유는 무엇입니까?_기타,"아이육아 (1명, 33.3%)","아이가 어려서 (1명, 33.3%)","양육 (1명, 33.3%)",
경제,Q11a1,(가구대표자용) 문11. 귀하께서는 해당 항목에 대해 어느 정도 수익을 얻고 계십니까? 최근 1개월을 기준으로 세전 소득을 말씀해주세요. - 1. 근로소득,"300~ 400만원 미만 (832명, 39.5%)","200~ 300만원 미만 (801명, 38.0%)","소득  없음 (474명, 22.5%)","소득  없음
100만원 미만
100~ 200만원 미만
200~ 300만원 미만
300~ 400만원 미만
400~ 500만원 미만
500만원 이상"
경제,Q11a2,(가구대표자용) 문11. 귀하께서는 해당 항목에 대해 어느 정도 수익을 얻고 계십니까? 최근 1개월을 기준으로 세전 소득을 말씀해주세요. - 2. 금융소득,"소득  없음 (2218명, 74.3%)","100만원 미만 (675명, 22.6%)","100~ 200만원 미만 (93명, 3.1%)","소득  없음
100만원 미만
100~ 200만원 미만
200~ 300만원 미만
300~ 400만원 미만
400~ 500만원 미만
500만원 이상"
경제,Q11a3,(가구대표자용) 문11. 귀하께서는 해당 항목에 대해 어느 정도 수익을 얻고 계십니까? 최근 1개월을 기준으로 세전 소득을 말씀해주세요. - 3. 부동산소득,"소득  없음 (2872명, 95.6%)","100만원 미만 (103명, 3.4%)","100~ 200만원 미만 (29명, 1.0%)","소득  없음
100만원 미만
100~ 200만원 미만
200~ 300만원 미만
300~ 400만원 미만
400~ 500만원 미만
500만원 이상"
경제,Q11a4,(가구대표자용) 문11. 귀하께서는 해당 항목에 대해 어느 정도 수익을 얻고 계십니까? 최근 1개월을 기준으로 세전 소득을 말씀해주세요. - 4. 사회보험 수급액,"소득  없음 (2681명, 89.0%)","100만원 미만 (278명, 9.2%)","100~ 200만원 미만 (52명, 1.7%)","소득  없음
100만원 미만
100~ 200만원 미만
200~ 300만원 미만
300~ 400만원 미만
400~ 500만원 미만
500만원 이상"
경제,Q11a5,(가구대표자용) 문11. 귀하께서는 해당 항목에 대해 어느 정도 수익을 얻고 계십니까? 최근 1개월을 기준으로 세전 소득을 말씀해주세요. - 5. 사회보험 이외 수급액,"소득  없음 (2578명, 85.3%)","100만원 미만 (399명, 13.2%)","100~ 200만원 미만 (44명, 1.5%)","소득  없음
100만원 미만
100~ 200만원 미만
200~ 300만원 미만
300~ 400만원 미만
400~ 500만원 미만
500만원 이상"
