,질문번호,질문,답변1,답변2,답변3,답변항목 설명
25,q3_1_3,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(3순위)","4.0 (154명, 15.3%)","5.0 (150명, 14.9%)","7.0 (149명, 14.8%)","① 새롭고 과감한 시도, 참신한 정책·사업들이 많아서
② 시민과의 소통, 홍보를 잘 하는 것 같아서
③ 수원특례시 현안에 대한 이해가 깊은 것 같아서
④ 추진력 있고 강단 있게 일하는 것 같아서
⑤ 정부, 경기도, 타지자체와의 협력을 잘하는 것 같아서
⑥ 평소 태도나 행동 등에서 신뢰감이 느껴져서
⑦ 무언가 계획을 갖고 일하는 느낌이어서
⑧ 열심히 일하는 것 같아서
⑨ 잘 모르겠다"
26,q4,"4. 민선8기 이재준 시장 취임 당시 가졌던 기대감과 현재 수원시정의 성과를 비교할 때, 취임당시 기대감 대비 현재 성과는 어떻습니까?","2.0 (541명, 30.4%)","1.0 (443명, 24.9%)","3.0 (403명, 22.6%)","① 잘 할 것이라 기대했고, 기대한 만큼 대체로 잘 한다
② 별로 기대하지 않았는데, 기대 이상으로 잘 한다
③ 잘 할 것이라 기대했는데, 대체로 기대에 못 미친다
④ 별로 기대하지 않았고, 역시 잘 못한다
⑤ 잘 모르겠다"
27,q5_1,"5-1. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_1. 정책과정의 민주성","5.0 (556명, 31.2%)","4.0 (465명, 26.1%)","6.0 (403명, 22.6%)","① 매우 낮게 평가한다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 높게 평가한다"
28,q5_2,"5-2. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_2. 정책의 이념적 지향","5.0 (533명, 29.9%)","4.0 (512명, 28.7%)","6.0 (368명, 20.7%)","① 매우 낮게 평가한다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 높게 평가한다"
29,q5_3,"5-3. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_3. 정책목표의 달성도","5.0 (534명, 30.0%)","4.0 (482명, 27.1%)","6.0 (386명, 21.7%)","① 매우 낮게 평가한다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 높게 평가한다"
30,q5_4,"5-4. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_4. 정책수혜집단의 만족도","4.0 (521명, 29.3%)","5.0 (506명, 28.4%)","6.0 (368명, 20.7%)","① 매우 낮게 평가한다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 높게 평가한다"
31,q5_5,"5-5. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_5. 위기관리 대응","5.0 (540명, 30.3%)","4.0 (474명, 26.6%)","6.0 (423명, 23.8%)","① 매우 낮게 평가한다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 높게 평가한다"
32,q6,6. 귀하는 앞으로 수원시가 어느 정책 분야를 우선적으로 추진해야 한다고 생각하십니까?,"1.0 (385명, 21.6%)","4.0 (344명, 19.3%)","2.0 (223명, 12.5%)","① 복지
② 교통
③ 산업 및 경제
④ 기업 유치 및 일자리
⑤ 주거
⑥ 도시계획 및 정비
⑦ 문화, 체육, 관광
⑧ 안전
⑨ 환경 및 기후변화
⑩ 교육
⑪ 아동․여성․가족
⑫ 기타(               )"
33,q6_op,6. (기타 오픈응답),"쓰리기 (1명, 25.0%)","청년 (1명, 25.0%)","무분별한 (1명, 25.0%)",
34,q7,7. 귀하는 수원시 의회의 의정활동 전반에 대해서 얼마나 만족하십니까? ,"5.0 (512명, 28.7%)","4.0 (511명, 28.7%)","6.0 (362명, 20.3%)","① 전혀 만족하지 못한다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 만족한다"
35,q8,"8. 제12대 수원특례시의회 의정활동 시작 당시 가졌던 기대감과 현재 수원특례시의회의 성과를 비교할 때, 당시 기대감 대비 현재 성과는 어떻습니까?","2.0 (530명, 29.8%)","3.0 (414명, 23.2%)","1.0 (350명, 19.7%)","① 잘 할 것이라 기대했고, 기대한 만큼 대체로 잘 한다
② 별로 기대하지 않았는데, 기대 이상으로 잘 한다
③ 잘 할 것이라 기대했는데, 대체로 기대에 못 미친다
④ 별로 기대하지 않았고, 역시 잘 못한다
⑤ 잘 모르겠다"
36,q9,9. 귀하는 올해 여름 휴가(7-8월)를 다녀오셨습니까? 혹은 계획이 있습니까?,"3.0 (468명, 26.3%)","1.0 (441명, 24.8%)","2.0 (384명, 21.6%)","① 이미 다녀왔다
② 여름 휴가를 다녀올 계획이다
③ 여름 휴가를 가지 않을 계획이다
④ 현재 미정이지만, 다녀올 가능성이 높다
⑤ 현재 미정이지만 다녀오지 못할 가능성이 높다"
37,q9_1,9-1. 귀하는 여름 휴가를 어디로 다녀오셨습니까? 혹은 다녀올 계획입니까?,"1.0 (746명, 75.8%)","2.0 (150명, 15.2%)","3.0 (47명, 4.8%)","① 국내
② 해외
③ 미정
④ 국내․해외 모두"
38,q9_2,9-2. 귀하는 누구와 함께 여름 휴가를 다녀오셨습니까? 혹은 다녀올 계획입니까?,"2.0 (708명, 72.0%)","3.0 (125명, 12.7%)","1.0 (74명, 7.5%)","① 혼자
② 가족
③ 친구
④ 연인
⑤ 동호회/모임
⑥ 기타(            )"
39,q9_2_op,9-2. (기타 오픈응답),"교회 (1명, 100.0%)",,,
40,q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,"50.0 (220명, 22.4%)","100.0 (163명, 16.6%)","30.0 (152명, 15.4%)",만원
41,q9_5,9-5. 국내 휴가여행/해외 휴가여행은 귀하에게 어떤 의미입니까? ,"1.0 (388명, 39.4%)","3.0 (262명, 26.6%)","2.0 (193명, 19.6%)","① 휴식과 재충천
② 일상에서 벗어난 변화
③ 소중한 사람과 함께 보내는 시간
④ 스트레스 해소
⑤ 새로운 경험과 모험
⑥ 개인적 성찰과 성장
⑦ 특별한 날이나 이벤트 기념
⑧ 기타(             )"
42,q9_5_op,9-5. (기타 오픈응답),"종교활동 (1명, 100.0%)",,,
43,resi_m,거주기간(월),"0.0 (263명, 14.8%)","2.0 (209명, 11.7%)","6.0 (206명, 11.6%)",개월
44,resi_y,거주기간(년),"10.0 (189명, 10.6%)","5.0 (134명, 7.5%)","3.0 (110명, 6.2%)",년
45,wg,모수가중치,"142.72 (101명, 5.7%)","216.81 (72명, 4.0%)","175.68 (69명, 3.9%)",
46,ws,표본가중치,"0.2506 (101명, 5.7%)","0.3807 (72명, 4.0%)","0.3085 (69명, 3.9%)",
