,질문번호,질문,답변1,답변2,답변3
19,q2,2. 귀하는 수원시의 시책이나 시정 운영에 대해 평소 관심이 있으십니까?,5.0 (613),4.0 (416),6.0 (404)
20,q20,20. 귀하는 수원시민의 삶에 가장 중요한 영향을 미칠 것으로 생각하는 민생규제혁신 분야는 무엇이라고 생각하십니까?,3.0 (522),5.0 (412),2.0 (294)
21,q21_op,"21. 귀하는 수원시의 어떠한 민생 규제가 해소되었으면 좋겠다고 생각하십니까?
(오픈 응답)",. (12),없음 (9),교통 (6)
22,q3,3. 귀하는 수원시가 시민들을 위해 추진하고 있는 정책 전반에 대해 얼마나 만족하십니까? ,5.0 (600),4.0 (523),6.0 (348)
23,q3_1_1,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(1순위)",2.0 (382),1.0 (254),3.0 (146)
24,q3_1_2,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(2순위)",4.0 (186),2.0 (179),3.0 (179)
25,q3_1_3,"3-1. 수원시 시정운영에 만족하시는 경우, 그 이유는 무엇입니까? 3가지를 중요한 순서대로 선택해 주십시오. 
(3순위)",4.0 (154),5.0 (150),7.0 (149)
26,q4,"4. 민선8기 이재준 시장 취임 당시 가졌던 기대감과 현재 수원시정의 성과를 비교할 때, 취임당시 기대감 대비 현재 성과는 어떻습니까?",2.0 (541),1.0 (443),3.0 (403)
27,q5_1,"5-1. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_1. 정책과정의 민주성",5.0 (556),4.0 (465),6.0 (403)
28,q5_2,"5-2. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_2. 정책의 이념적 지향",5.0 (533),4.0 (512),6.0 (368)
29,q5_3,"5-3. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_3. 정책목표의 달성도",5.0 (534),4.0 (482),6.0 (386)
30,q5_4,"5-4. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_4. 정책수혜집단의 만족도",4.0 (521),5.0 (506),6.0 (368)
31,q5_5,"5-5. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까?
_5. 위기관리 대응",5.0 (540),4.0 (474),6.0 (423)
32,q6,6. 귀하는 앞으로 수원시가 어느 정책 분야를 우선적으로 추진해야 한다고 생각하십니까?,1.0 (385),4.0 (344),2.0 (223)
33,q6_op,6. (기타 오픈응답),쓰리기 매일수거 (1),청년 (1),무분별한 외국이 받아들이지 말기. 공원조성. 악취해결 (1)
34,q7,7. 귀하는 수원시 의회의 의정활동 전반에 대해서 얼마나 만족하십니까? ,5.0 (512),4.0 (511),6.0 (362)
35,q8,"8. 제12대 수원특례시의회 의정활동 시작 당시 가졌던 기대감과 현재 수원특례시의회의 성과를 비교할 때, 당시 기대감 대비 현재 성과는 어떻습니까?",2.0 (530),3.0 (414),1.0 (350)
36,q9,9. 귀하는 올해 여름 휴가(7-8월)를 다녀오셨습니까? 혹은 계획이 있습니까?,3.0 (468),1.0 (441),2.0 (384)
37,q9_1,9-1. 귀하는 여름 휴가를 어디로 다녀오셨습니까? 혹은 다녀올 계획입니까?,1.0 (746),2.0 (150),3.0 (47)
38,q9_2,9-2. 귀하는 누구와 함께 여름 휴가를 다녀오셨습니까? 혹은 다녀올 계획입니까?,2.0 (708),3.0 (125),1.0 (74)
39,q9_2_op,9-2. (기타 오픈응답),교회 봉사활동 (1),,
40,q9_4,9-4. 여름 휴가 여행 (예상)지출액은 얼마입니까? ,50.0 (220),100.0 (163),30.0 (152)
41,q9_5,9-5. 국내 휴가여행/해외 휴가여행은 귀하에게 어떤 의미입니까? ,1.0 (388),3.0 (262),2.0 (193)
42,q9_5_op,9-5. (기타 오픈응답),종교활동 (1),,
43,resi_m,거주기간(월),0.0 (263),2.0 (209),6.0 (206)
44,resi_y,거주기간(년),10.0 (189),5.0 (134),3.0 (110)
45,wg,모수가중치,142.72 (101),216.81 (72),175.68 (69)
46,ws,표본가중치,0.2506 (101),0.3807 (72),0.3085 (69)
